-> 29/04/2016 || 11:44:26 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 29/04/2016 || 21:12:51 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 29/04/2016 || 21:14:09 || IP CONEXÃO EXTERNA: 192.168.1.19
-> 29/04/2016 || 21:14:18 || IP CONEXÃO EXTERNA: 192.168.1.19
-> 29/04/2016 || 21:19:15 || IP CONEXÃO EXTERNA: 192.168.1.19
-> 29/04/2016 || 21:20:11 || IP CONEXÃO EXTERNA: 192.168.1.19
-> 29/04/2016 || 21:20:21 || IP CONEXÃO EXTERNA: 192.168.1.19
-> 29/04/2016 || 21:30:21 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 29/04/2016 || 21:30:23 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 29/04/2016 || 21:32:16 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 29/04/2016 || 21:32:36 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 29/04/2016 || 21:33:07 || IP CONEXÃO EXTERNA: 192.168.1.19
-> 29/04/2016 || 21:33:26 || IP CONEXÃO EXTERNA: 192.168.1.19
-> 29/04/2016 || 21:55:50 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 29/04/2016 || 21:56:29 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 29/04/2016 || 21:56:32 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 29/04/2016 || 21:56:45 || IP CONEXÃO EXTERNA: 127.0.0.1
-> 29/04/2016 || 22:00:00 || IP CONEXÃO EXTERNA: 192.168.1.19
-> 29/04/2016 || 22:00:04 || IP CONEXÃO EXTERNA: 192.168.1.19
-> 29/04/2016 || 22:00:34 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:35:00 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:35:12 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:36:18 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:36:23 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:36:46 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:38:41 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:38:51 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:39:02 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:39:18 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:39:28 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:40:08 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:40:12 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:40:19 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:41:30 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:41:41 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:42:31 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:43:19 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:43:31 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:44:14 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:45:38 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 04/05/2016 || 22:45:51 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 05/05/2016 || 23:58:19 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 05/05/2016 || 23:58:34 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 05/05/2016 || 23:59:23 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 05/05/2016 || 23:59:50 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 06/05/2016 || 00:01:45 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 06/05/2016 || 00:01:59 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 06/05/2016 || 00:02:18 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 06/05/2016 || 00:02:32 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 06/05/2016 || 00:03:09 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 06/05/2016 || 00:03:24 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
-> 06/05/2016 || 00:03:49 || IP CONEXÃO EXTERNA: 0:0:0:0:0:0:0:1
